127.0.0.1, 2022-12-14 23:11:21, GET, /, HTTP/1.1, 303, 0.001995
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.862660
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002992
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001994
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001994
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-12-14 23:11:22, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-12-14 23:11:23, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-12-14 23:11:23, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-12-14 23:11:55, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.119702
127.0.0.1, 2022-12-14 23:11:55, GET, /admin/default/index, HTTP/1.1, 200, 0.059864
127.0.0.1, 2022-12-14 23:11:55, GET, /admin/static/_2.22.5/css/calendar.css, HTTP/1.1, 200, 0.003989
127.0.0.1, 2022-12-14 23:11:55, GET, /admin/static/_2.22.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.015890
127.0.0.1, 2022-12-14 23:11:55, GET, /admin/static/_2.22.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.016888
127.0.0.1, 2022-12-14 23:11:55, GET, /admin/static/_2.22.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.027926
127.0.0.1, 2022-12-14 23:11:55, GET, /admin/static/_2.22.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.012966
127.0.0.1, 2022-12-14 23:11:55, GET, /admin/static/_2.22.5/js/calendar.js, HTTP/1.1, 200, 0.022939
127.0.0.1, 2022-12-14 23:11:55, GET, /admin/static/_2.22.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000997
